group,label,entry,script_target,command_index,command_addr,opcode,relation,symbol,bit_or_value,extra
$03,EventScriptGroup_03,2,$B3C1E4,11,$B3C216,$14,read_condition,$7F1F6C,bit_$00,
$03,EventScriptGroup_03,2,$B3C1E4,14,$B3C224,$16,read_condition,$7F1F1C,between_$11_$12,
$03,EventScriptGroup_03,2,$B3C1E4,19,$B3C23F,$1C,dialog_text_id,Text_$01C9,mode_$00,
$03,EventScriptGroup_03,2,$B3C1E4,21,$B3C246,$16,read_condition,$80091E,between_$09_$0C,
$03,EventScriptGroup_03,2,$B3C1E4,22,$B3C24E,$1C,dialog_text_id,Text_$03BC,mode_$00,
$03,EventScriptGroup_03,2,$B3C1E4,24,$B3C255,$1C,dialog_text_id,Text_$0049,mode_$00,
$03,EventScriptGroup_03,2,$B3C1E4,26,$B3C25C,$16,read_condition,$7F1F1C,between_$11_$12,
$03,EventScriptGroup_03,2,$B3C1E4,27,$B3C264,$1C,dialog_text_id,Text_$007D,mode_$00,
$03,EventScriptGroup_03,3,$B3C507,0,$B3C507,$27,write_value_or_flag,$C6AEC5,bit_$FE,outside_expected_ram_window
$04,EventScriptGroup_04,0,$B3C527,6,$B3C539,$14,read_condition,$7F1F66,bit_$00,
$04,EventScriptGroup_04,0,$B3C527,7,$B3C540,$14,read_condition,$7F1F6A,bit_$0C,
$04,EventScriptGroup_04,0,$B3C527,14,$B3C561,$1C,dialog_text_id,Text_$01C9,mode_$00,
$04,EventScriptGroup_04,0,$B3C527,16,$B3C568,$16,read_condition,$80091E,between_$09_$0C,
$04,EventScriptGroup_04,0,$B3C527,17,$B3C570,$1C,dialog_text_id,Text_$0200,mode_$00,
$04,EventScriptGroup_04,0,$B3C527,19,$B3C577,$1C,dialog_text_id,Text_$03B8,mode_$00,
$04,EventScriptGroup_04,0,$B3C527,21,$B3C57E,$14,read_condition,$7F1F6A,bit_$0C,
$04,EventScriptGroup_04,0,$B3C527,22,$B3C585,$15,read_condition,$7F1F19,eq_$02,
$04,EventScriptGroup_04,0,$B3C527,23,$B3C58C,$1C,dialog_text_id,Text_$0039,mode_$00,
$04,EventScriptGroup_04,0,$B3C527,25,$B3C593,$1C,dialog_text_id,Text_$03BE,mode_$00,
$04,EventScriptGroup_04,0,$B3C527,27,$B3C59A,$1C,dialog_text_id,Text_$01CD,mode_$00,
$04,EventScriptGroup_04,0,$B3C527,33,$B3C5B4,$1C,dialog_text_id,Text_$01C6,mode_$00,
$04,EventScriptGroup_04,0,$B3C527,35,$B3C5BB,$16,read_condition,$80091E,between_$09_$0C,
$04,EventScriptGroup_04,0,$B3C527,36,$B3C5C3,$1C,dialog_text_id,Text_$0200,mode_$00,
$04,EventScriptGroup_04,0,$B3C527,38,$B3C5CA,$1C,dialog_text_id,Text_$03B9,mode_$00,
$04,EventScriptGroup_04,0,$B3C527,40,$B3C5D1,$14,read_condition,$7F1F6A,bit_$0C,
