old_label,new_label,file
CODE_83CF10,Bank83_NpcSpriteLogicBranch_83CF10,src/code_banks/bank_83.asm
CODE_83CF32,Bank83_NpcSpriteLogicBranch_83CF32,src/code_banks/bank_83.asm
CODE_83CF42,Bank83_NpcSpriteLogicBranch_83CF42,src/code_banks/bank_83.asm
CODE_83CF73,Bank83_NpcSpriteLogicBranch_83CF73,src/code_banks/bank_83.asm
CODE_83CFA4,Bank83_NpcSpriteLogicBranch_83CFA4,src/code_banks/bank_83.asm
CODE_83CFF8,Bank83_NpcSpriteLogicBranch_83CFF8,src/code_banks/bank_83.asm
CODE_83D03D,Bank83_NpcSpriteLogicBranch_83D03D,src/code_banks/bank_83.asm
CODE_83D060,Bank83_NpcSpriteLogicBranch_83D060,src/code_banks/bank_83.asm
CODE_83D0B2,Bank83_NpcSpriteLogicBranch_83D0B2,src/code_banks/bank_83.asm
CODE_83D0FF,Bank83_NpcSpriteLogicBranch_83D0FF,src/code_banks/bank_83.asm
CODE_83D163,Bank83_NpcSpriteLogicBranch_83D163,src/code_banks/bank_83.asm
CODE_83D175,Bank83_NpcSpriteLogicBranch_83D175,src/code_banks/bank_83.asm
CODE_83D1CE,Bank83_NpcSpriteLogicBranch_83D1CE,src/code_banks/bank_83.asm
CODE_83D1F8,Bank83_NpcSpriteLogicBranch_83D1F8,src/code_banks/bank_83.asm
CODE_83D23E,Bank83_NpcSpriteLogicBranch_83D23E,src/code_banks/bank_83.asm
CODE_83D28E,Bank83_NpcSpriteLogicBranch_83D28E,src/code_banks/bank_83.asm
CODE_83D29E,Bank83_NpcSpriteLogicBranch_83D29E,src/code_banks/bank_83.asm
CODE_83D2DF,Bank83_NpcSpriteLogicBranch_83D2DF,src/code_banks/bank_83.asm
CODE_83D304,Bank83_NpcSpriteLogicBranch_83D304,src/code_banks/bank_83.asm
CODE_83D313,Bank83_NpcSpriteLogicBranch_83D313,src/code_banks/bank_83.asm
CODE_83D31E,Bank83_NpcSpriteLogicBranch_83D31E,src/code_banks/bank_83.asm
CODE_83D329,Bank83_NpcSpriteLogicBranch_83D329,src/code_banks/bank_83.asm
CODE_83D369,Bank83_NpcSpriteLogicBranch_83D369,src/code_banks/bank_83.asm
CODE_83D3B8,Bank83_NpcSpriteLogicBranch_83D3B8,src/code_banks/bank_83.asm
CODE_83D3E2,Bank83_NpcSpriteLogicBranch_83D3E2,src/code_banks/bank_83.asm
CODE_83D40E,Bank83_NpcSpriteLogicBranch_83D40E,src/code_banks/bank_83.asm
CODE_83D43A,Bank83_NpcSpriteLogicBranch_83D43A,src/code_banks/bank_83.asm
CODE_83D452,Bank83_NpcSpriteLogicBranch_83D452,src/code_banks/bank_83.asm
CODE_83D46D,Bank83_NpcSpriteLogicBranch_83D46D,src/code_banks/bank_83.asm
CODE_83D4B6,Bank83_NpcSpriteLogicBranch_83D4B6,src/code_banks/bank_83.asm
CODE_83D4B7,Bank83_NpcSpriteLogicBranch_83D4B7,src/code_banks/bank_83.asm
CODE_83D4C7,Bank83_NpcSpriteLogicBranch_83D4C7,src/code_banks/bank_83.asm
CODE_83D4E4,Bank83_NpcSpriteLogicBranch_83D4E4,src/code_banks/bank_83.asm
CODE_83D4FF,Bank83_NpcSpriteLogicBranch_83D4FF,src/code_banks/bank_83.asm
CODE_83D52B,Bank83_NpcSpriteLogicBranch_83D52B,src/code_banks/bank_83.asm
CODE_83D546,Bank83_NpcSpriteLogicBranch_83D546,src/code_banks/bank_83.asm
CODE_83D587,Bank83_NpcSpriteLogicBranch_83D587,src/code_banks/bank_83.asm
CODE_83D597,Bank83_NpcSpriteLogicBranch_83D597,src/code_banks/bank_83.asm
CODE_83D5A7,Bank83_NpcSpriteLogicBranch_83D5A7,src/code_banks/bank_83.asm
CODE_83D5B7,Bank83_NpcSpriteLogicBranch_83D5B7,src/code_banks/bank_83.asm
CODE_83D5C7,Bank83_NpcSpriteLogicBranch_83D5C7,src/code_banks/bank_83.asm
CODE_83D5D7,Bank83_NpcSpriteLogicBranch_83D5D7,src/code_banks/bank_83.asm
CODE_83D5F5,Bank83_NpcSpriteLogicBranch_83D5F5,src/code_banks/bank_83.asm
CODE_83D603,Bank83_NpcSpriteLogicBranch_83D603,src/code_banks/bank_83.asm
CODE_83D63F,Bank83_NpcSpriteLogicBranch_83D63F,src/code_banks/bank_83.asm
CODE_83D66E,Bank83_NpcSpriteLogicBranch_83D66E,src/code_banks/bank_83.asm
CODE_83D689,Bank83_NpcSpriteLogicBranch_83D689,src/code_banks/bank_83.asm
CODE_83D696,Bank83_NpcSpriteLogicBranch_83D696,src/code_banks/bank_83.asm
CODE_83D6AB,Bank83_NpcSpriteLogicBranch_83D6AB,src/code_banks/bank_83.asm
CODE_83D6C1,Bank83_NpcSpriteLogicBranch_83D6C1,src/code_banks/bank_83.asm
CODE_83D6DE,Bank83_NpcSpriteLogicBranch_83D6DE,src/code_banks/bank_83.asm
CODE_83D6ED,Bank83_NpcSpriteLogicBranch_83D6ED,src/code_banks/bank_83.asm
CODE_83D6EE,Bank83_NpcSpriteLogicBranch_83D6EE,src/code_banks/bank_83.asm
CODE_83D6FE,Bank83_NpcSpriteLogicBranch_83D6FE,src/code_banks/bank_83.asm
CODE_83D70E,Bank83_NpcSpriteLogicBranch_83D70E,src/code_banks/bank_83.asm
CODE_83D71E,Bank83_NpcSpriteLogicBranch_83D71E,src/code_banks/bank_83.asm
CODE_83D72E,Bank83_NpcSpriteLogicBranch_83D72E,src/code_banks/bank_83.asm
CODE_83D73E,Bank83_NpcSpriteLogicBranch_83D73E,src/code_banks/bank_83.asm
CODE_83D75B,Bank83_NpcSpriteLogicBranch_83D75B,src/code_banks/bank_83.asm
